transaction_id,customer_id,transaction_date,amount,quantity,product_category,product_name
TXNHS02M8F27C,CUST20667728,2025-08-04 20:58:32.794066,179.17,1,Clothing,Accessories
TXNU8ZF5K88ON,CUST20667728,2025-07-28 20:58:32.794066,113.03,3,Sports & Outdoors,Bicycle
TXN4PGJYGTJJ7,CUST20667728,2025-07-15 20:58:32.794066,160.19,4,Books,Non-Fiction
TXN1RTDGXD4ZU,CUST20667728,2025-09-05 20:58:32.794066,152.17,5,Clothing,Shoes
TXNE3JFY7VTYT,CUST20667728,2025-08-05 20:58:32.794066,94.09,5,Electronics,Smart Watch
TXNJV50BCGCX0,CUST20667728,2025-08-03 20:58:32.794066,194.25,4,Automotive,Car Accessories
TXN77L9IHHBP0,CUST20667728,2025-08-29 20:58:32.794066,176.03,1,Electronics,Laptop
TXNCKGI0G3PNX,CUST20667728,2025-07-24 20:58:32.794066,163.34,1,Toys & Games,Action Figures
TXN59LQTAT22F,CUST99320749,2025-12-23 20:58:32.794066,252.03,5,Sports & Outdoors,Sportswear
TXN4V5X74AF8N,CUST99320749,2025-12-07 20:58:32.794066,282.62,5,Food & Beverages,Organic Products
TXNZ6DHJBVNJL,CUST99320749,2025-12-23 20:58:32.794066,172.12,4,Books,Comics
TXNLLTI9WKFRS,CUST99320749,2025-12-09 20:58:32.794066,288.63,1,Electronics,Headphones
TXN867R8BYMIO,CUST99320749,2025-12-09 20:58:32.794066,205.29,5,Food & Beverages,Gourmet Food
TXNRU4L2PJP7J,CUST99320749,2025-12-05 20:58:32.794066,156.64,4,Food & Beverages,Beverages
TXN4D6X5JJTEJ,CUST99320749,2025-12-03 20:58:32.794066,272.91,5,Health & Beauty,Skincare
TXNBTDLVHD09W,CUST99320749,2025-12-05 20:58:32.794066,244.75,4,Home & Garden,Tools
TXNSSJT6QFA43,CUST99320749,2025-12-20 20:58:32.794066,292.02,2,Books,Fiction
TXNHTQGONKJRX,CUST99320749,2025-12-10 20:58:32.794066,288.3,1,Health & Beauty,Personal Care
TXNL7VO73DP0Q,CUST99320749,2025-12-14 20:58:32.794066,262.35,1,Home & Garden,Decor
TXNMW9460AKFA,CUST99320749,2025-12-04 20:58:32.794066,206.82,1,Home & Garden,Decor
TXNRBY5PFKXTM,CUST99320749,2025-12-13 20:58:32.794066,180.56,2,Toys & Games,Video Games
TXNBL2CU0BSU8,CUST99320749,2025-12-03 20:58:32.794066,326.65,4,Toys & Games,Video Games
TXNNKT7NOXLEL,CUST99320749,2025-12-23 20:58:32.794066,242.82,4,Sports & Outdoors,Camping Gear
TXNAEVO0WOVSJ,CUST67938622,2025-08-02 20:58:32.794066,179.22,2,Automotive,Tools
TXNPLLDS3DVS7,CUST67938622,2025-04-01 20:58:32.794066,263.69,5,Food & Beverages,Beverages
TXNE5J6VRD2BV,CUST67938622,2025-07-24 20:58:32.794066,142.96,1,Books,Comics
TXN3V9HSXSJ77,CUST67938622,2025-07-16 20:58:32.794066,265.06,1,Books,Non-Fiction
TXNSFFO08OGPH,CUST67938622,2025-05-27 20:58:32.794066,327.47,5,Toys & Games,Board Games
TXNDCFYA9GQ0Z,CUST67938622,2025-12-08 20:58:32.794066,298.08,4,Electronics,Camera
TXNLKAL8ZJDTB,CUST67938622,2024-10-16 20:58:32.794066,276.31,2,Food & Beverages,Snacks
TXNBJSMTDZDNA,CUST67938622,2025-04-29 20:58:32.794066,278.04,5,Health & Beauty,Skincare
TXNDAKVY6GO9D,CUST67938622,2025-07-09 20:58:32.794066,188.85,2,Clothing,Dress
TXN58T12YB0R7,CUST67938622,2025-07-28 20:58:32.794066,241.67,1,Toys & Games,Action Figures
TXNGZC0GMRWT4,CUST67938622,2025-12-06 20:58:32.794066,353.74,1,Food & Beverages,Organic Products
TXNUIJLC9MXN2,CUST67938622,2024-09-18 20:58:32.794066,230.11,4,Food & Beverages,Beverages
TXNOIC4PC7NE4,CUST67938622,2025-09-19 20:58:32.794066,247.31,3,Health & Beauty,Supplements
